fishing boats,colors of,the rainbow
stock market closed,a trader invests in the afterlife---,Good Friday 
fog and rain---,I pass a closed,nudists club
evening fog---,only the sound of high heels,registers 
year's first hot day---,East River lovers,smooch in their cars
morning fog---,a driver stops to ask,where is Manhattan
nice Spring day---,kids draw in colored chalk,on the sidewalk
the sun shines into,my kitchen as it sets---,the smell of baked sugar
Saturday night wedding---,the bride,is a man
fog over the skyline---,I steam up my windows,cooking pasta
Libya---,only ones with money play---,others die
rebels retake Ajdabiya---,finally the no-fly-zone,gets teeth
fog at happy hour---,the bartender forgets ,my tequila sunrise 
sunny Spring day---,old graffiti catches,the eye
blue sky---,a man climbs the fire escape stairs,to the roof
Spring fever---,a cobra escapes from,the Bronx Zoo
afternoon fog---,the cat watches TV,instead of the window
crescent moon over the skyline---,she shows lots,of cleavage
Japan's power plant radiation---,the wind will decide,who dies
cloudy at sunset---,black and white graffiti ,shows more leg 
a rain storm ends---,the graffiti looks,dirtier than before
sunset---,the Empire State Building is lit,in red and yellow
Saturday night fog---,so many girls here,have a hoarse voice
her eyes---,a hesitant dog leads,a woman into a subway car
I put out the night garbage---,a Wolf,Moon 
fresh snow on the roofs---,the old graffiti looks,dirtier 
Saturday night---,talk of the recent snow storms,is a good ice breaker
1 11 11,too many smoking,chimneys
morning cloudy sky---,she comes out of the shower,wrapped in a towel
crescent moon---,she paints only the tips,of her finger nails
the noise of a garbage truck,wakes me up---,December harvest moon
Christmas Day nears---,the shopping bags,get smaller
candle light at sunset---,Hanukkah,starts
a crack in dark clouds---,a kid works out Rubik Cube,as he walks 
blue sky---,the wind disperses the scrips,of a stocks broker 
December cold night---,the sole sign of life,is the smell of cars exhausts
sunrise---,a yogi does,the Cobra
evening fog---,the cat comes back,with an appetite
morning fog---,the dry cleaner says,he can't find my coat
evening fog---,some one behind me,speaks in Cockney
Daylight Saving Time starts---,the cat still awakes,when it's hungry
crescent moon at sunset---,she hesitates then,kisses me
as she sits at the bar---,her jeans slide,a half moon
evening fog---,the cars parked on the beach,have their windows fogged out
East Side skyline---,the UN building looks,more like a hospital
dark clouds move,in between skyscrapers---,the Dow goes down
East River warm Autumn day---,a red oil tanker,zigzags
Summer barber shop---,sudden silence,as a blonde bombshell comes in
Summer sunset---,she ties her bikini top,before she gets up
flea market shopping---,you may have to pay in blood,the bedbugs scare 
sunset---,as the train starts,to enter the tunnel
East River night,cool September wind---,lovers stay in their cars
late August garbage bags---,a jasmine tree,near by
August blue sky---,the smell of sunscreen,in the subway
morning haze---,a beach beauty goes,topless
Hiroshima Day---,a Japanese ballerina,dances on pointe
Summer park---,every one is busy,viewing their phone screens
July sunset---,after a hot day,the watermelon tastes cool
sunrise---,my neighbor in her underwear,July's last day
no more dirty jokes---,the new barber is,a woman
July early morning---,a jogger carries,two bottles of water
morning fog---,Citibank building loses,the other half of its top
Summer hot day---,the sound of some one,playing the flute
afternoon walk---,the buzz of air conditioners,and flies
dark bar---,old man younger woman,and a condom machine
June swings from warm to cold---,I recall my ex,mother in law
sunset---,an ice cream vendor forgets,to put a cherry on top
Madison Square Park,nice Spring day---,no stock brokers 
dangerous intersection---,always fresh flowers,on one way sign pole
sunrise---,a yogi faces,the wrong direction
Gulf oil spill reaches,the wet lands---,bird songs black out 
Saturday night fog---,too many women,wear pants 
April sunset---,from the patio of,a foreclosed house for sale
first day of Spring---,two sweethearts kiss,under a leafless tree
she closes her,bathroom curtains---,a setting full moon
March warms up---,the barmaid opens,another button on her skirt
morning snow---,I tell my barber do something,about my gray hairs 
morning fog---,the subway is full,of steaming spirits
Superbowl Sunday---,no smell,of cooking
blizzard---,the bars are crowded,but the subway is empty
the cat starts,to have an attitude---,the year of the tiger
Martin Luther King Day---,Obama is busy,at work
Martin Luther King Day---,Obama est occupé,au travail 
I turn off my cell---,crescent moon,over the skyline 
as the train passes,graffiti murals---,sunset paints the sky red
as I pass her boyfriend's house---,a full moon,Winter's chill
the new year---,a homeless man,has a new sign
an old woman asks,for directions to a bar---,Winter
Claude Levi Strauss dies---,a florist has,wild forget-me-nots 
October dead leaves---,a witch passes me,hat less
Columbus Day---,the UPS guy knocks,on the wrong door 
morning train---,everyone is,on the same page
September Eleven morning,in a coffee shop---,the silence
August heat---,an ice cream truck,ran out of gas
blue sky---,August dust,on the radiator
morning haze---,I postpone,cleaning my windows
morning fog---,a street artist,draws with charcoal
blue sky---,the smell of,suntan lotion
Hiroshima Day---,the reason why,we must keep talking
an octopus spills,its ink---,clouds at sunset 
dense fog---,a nudist beach,empties up
Sunday blue sky---,a kid comes out,of confession
starless night---,a fisherman talks,to himself
morning fog---,a beggar wears,an orange coat
eclipse of the sun---,monks in orange,pray
hot July night---,my neighbor opens,her curtains
morning fog,graffiti artists are,busy working
Summer moonless night---,in the light of fireflies,we kiss 
a beach downpour---,they come out of the ocean,into a shower
late night on the beach---,the only light on,is that of the lighthouse
beautiful weather,on July Fourth---,in God we trust 
Central Park green house gases---,a carriage horse shits,as he passes me
cool July day---,the ice cream man,goes for a coffee break
late June crowded subway---,but no one has,a sun tan
Saturday night rain---,a couple eye the lobsters,in a water tank
June sunset---,when we wake up,how many died in Iran?
lunch hour---,a long line of women,at the ice cream cart
Upper East Side---,their graffiti,is cooler
June morning---,a line of ants,at the subway entrance
the recession---,more nude entertainment bars,open
a June downpour takes a break---,I go out to buy,more water
morning fog---,too much steamed milk,in my espresso
New York---,opposite a church a mosque,both have their doors open
morning fog---,she wears sunglasses,in the subway
Hudson River cool breeze---,so many men,go topless
late night---,she shows me her garden,I taste her tomatoes
blue sky---,as if last night fireworks,never happened
kids fight a gun battle,in the swimming pool---,Memorial Day 
ozone level too high---,a woman wears nothing,under her skirt
sunset---,the sound of people singing,as I pass a church 
East River green waters---,a friend gives me a sip,of his absinthe
dense fog---,a blind man crosses,the street alone
Friday afternoon downpour---,a beer truck stops,to unload
rainy May Sunday---,at a bus stop,an empty can of beer
morning mist---,she takes off her eyeglasses,to see me better
cold rainy day---,Cherry blossom petals,carpet the sidewalk
still no sunshine---,I eat,an orange
the sound of women,whispering -,moonless night
morning fog---,more talk about more,pictures of detainees' torture
afternoon dense fog---,the barmaid gives me,another for the road
over night trash---,the smell of,acetone breath 
April warms up---,the cat has,a new friend
Sunday morning haze---,she wants,her coffee spiced
Spring in the park---,two homeless men play poker,for empty cans
Obama's news conference---,I turn off,Mozart
Spring drizzle---,a newly homeless man,views an abandoned house 
Sunday morning blue sky---,I need more,Alka-Seltzer
rainy day---,I bet the barmaid,I can guess her age
a little girl blows,bubble gum---,cherry trees blossom
a sign on the door---,our sun tanning machines,are solar
lonely Spring Saturday---,I look at the graffiti,for a haiku
Spring drizzle---,the sound of high heels,behind me
clear day---,I view Citibank skyscraper,but where is the aura
waiting for a blizzard to come---,the bar tender ran out,of white rum
she puts the pads,in her bra---,a half moon
East River nice day---,a used condom,on a pile of dirty snow
morning fog---,the new graffiti is,minimal
late night drizzle---,she carries her belongings,in a kids cart
the night watchman,almost closes his eyes---,waning crescent
windy night---,a smoker finds shelter,behind a garbage truck
it starts to snow---,the cat wants,the milk warmed
blue sky---,dew drops on the cover,of the garbage can
a cockroach climbs the wall---,Charles Darwin is today,two hundred 
January warms up---,my neighbor walks,in her underwear
sunset---,as I walk on thin ice,I remember her
dawn---,a Christmas tree,sticks out of the garbage
the recession---,my neighbor puts,another lock on his door
cloudy January---,a white plastic bag,on a leafless tree
chilly night---,I ask,if I can sleep with her
sunset---,I turn off,the Christmas lights
snow in the forecast---,my neighbor's husky,wags his tail
fresh snow---,the graffiti looks ,dirtier 
dawn---,last year dust,on the Christmas ornaments
first snow---,bride walks out,of a church
back home,I wipe her lipstick off my cheek---,a half moon 
cold morning---,a cockroach warms up,under my coffee cup 
first frost---,I feed,the aquarium fish
dawn---,a drunk pisses,on today's newspaper 
gas station---,a GM car,needs a push
late November farm---,a turkey looks,well fed
her winter night gown,suddenly opens---,crescent moon 
Saturday night---,she wears her red high heels,Christmas nears
the recession---,the sun sets behind,Citibank skyscraper
my watch stopped---,I ask a beggar,what time it is
morning haze---,Wall Street has,disappeared
Thanksgiving day---,walking past,empty houses 
Sunday morning fog---,my neighbor's wife,is naked
Saturday night---,a carriage horse,flirts with another 
dawn---,waiting for the light,at the end of the tunnel
Armistice Day---,I buy,more Euros
the crunch of Autumn leaves---,as I pass,a dentures shop
November drizzle---,I turn off,the Zen music
daylight saving time ends---,the cat wakes me,an hour early
black cat tries to,open a garbage bag---,moonless night 
cold morning---,the bus has no heat,she knits a sweater
October night---,who cares how stocks did,crescent moon
windy night---,a witch walks home,Halloween nears
as I walk,on wet Autumn leaves---,a poster of McCain
blue sky---,no liquidity,at the banks 
clear October night---,the smell,of cinnamon
very dry night---,a half moon,hardly moving
Autumn courtyard---,as leaves fall,algae grows
September sunset---,a dead leaf,at my feet
I rush to buy,her birthday present---,crescent moon
Autumn downpour---,I stand under the canopy,of a house for sale
evening fog---,I watch my neighbor,smoke his waterpipe
blue sky,changes to grey---,Paul Newman dies
Madison Square Park---,why are bankers,looking down
September Eleven---,I remember to fix,lock of my backdoor 
a long weekend---,I ran out,of chocolate
hot August night---,she stands,staring out of her window
dawn---,the smell of watermelon,from last night garbage
early morning---,a yogi pisses,in a drinking glass
dawn---,a Coca- Cola sign,turns off
August blue sky---,a Chinese dragon,fuming
Summer thunderstorms---,a surfer puts his board,on his head
my train is late---,I watch a cockroach,going home
dawn---,a line waits outside,the dialysis center
morning---,smell coffee from house,of difficult neighbor
Summer haze---,she wears,a beige bikini
morning haze---,she asks,who picked our lilacs
Summer crowded subway---,the smell,of sardines
she wears tight blue jeans,and hijab---,July Fourth
July Fourth fireworks---,I stand next to,an Iraqi refugee 
sunrise---,a black woman in purple dress,glares at me 
a man at the beach yells---,I need oil to drive home,late June sunset
sunrise---,heavy dust on my copy,of Paradise Lost
June rain stopped---,a drunk waters some more,the lilacs
morning haze---,an exhibitionist keeps,the curtains closed
sudden Spring showers---,her mascara,runs
tough bar---,she just returned,from Iraq
low tide---,she's on seaweed,diet
Memorial Day---,waiting for George Bush,to leave office
Spring warms up---,tattoos,not just on the arms
hearing the call for prayer,as I pass a mosque---,Spring sunset
wind swept cold rain---,truck makes stops,to deliver bottled water
her blond hair shines,over her business suit---,full moon at dusk
the price of rice,goes up---,I start hoarding sake
foggy morning---,she wipes the dust,off her portrait
blue sky---,my neighbor tells,another big fish story
Tax Day---,the sun shines,on a house for sale
blue sky---,her windows are all,fogged up
new driver---,my bus arrives,on time
foggy day---,the rest of this,is at present not available
sunny Spring day---,at the corner store,firemen buy charcoal
dawn---,a pile of black trash bags,wait for pick up
Spring first day---,she wears,no bra
full moon---,the barmaid kisses me,on the cheek
windy day---,the mailman,arrives early
holding the binoculars,in her hands---she has,more rings than Saturn
rainy night---,the clicks of high heels,behind me
for the new year ---,a temple nun,washes Buddha
a construction site,on a Winter day---,got sand in my shoes
alone on a pier,he plays the trombone --,Winter sunset
blue sky---,white lilies stick out,of a garbage bag 
sunrise---,new graffiti,in black and white
new year's day---,there is rice,on the sidewalk
strong wind---,an inflatable Santa,decides to fly back north
Thai restaurant---,Christmas songs,only in the kitchen
gloomy day---,the Christmas lights,shine brighter
morning fog---,the graffiti,looks subtle
walking in first snow storm---,no one,in a hurry
Christmas shopping---,I forgot,her present size
wrong address---,the doorman wears,a diamond earing
waiting for dawn---,I put milk,in my coffee
she has a twinkle,in her eyes---,I order more oysters
morning haze---,I watch,high definition TV
Thanksgiving Day---,a rat awaits,arrival of the garbage
Black Friday,starts at midnight---,a long line to buy bagels
Thanksgiving leftovers---,a harvest moon,wrapped with clouds
geometry lesson---,day moon,next to a contrail
Madison Square Park---,cold wind makes it,harder to day dream
putting diamonds,on the heads of rusty nails---,first frost
Veterans Day---,smart people,start wars
late October warmth---,a witch,smiles at me
dark clouds at sunset---,my neighbor,lights up his pumpkin
the flu shot---,my last time,mother held my hand
Indian reservation---,too few home owners,for a subprime crisis
sunset---,a balloon moves up,till it disappears
crowded subway---,he gives his girl friend,a long kiss
overcast sky---,he hands out fliers,for a tanning salon
morning stillness---,the cat watches,a butterfly
October sunset---,have to go to the kitchen,window to view it
October cold wind---,her yellow skirt,rises
going out she hides,her wedding band---,crescent moon
dusk---,crescent moon amongst dark clouds,I light more candles
a bride walks up,the steps of a church---,September blue sky
morning haze---,her bubble bath,is ready
Madison square Park---,I watch the moon,through an American Elm
dry late September day---,the sun shines,on her freckles
blue sky---,outside a clinic,a nurse takes a smoke break
Labor Day---,a migrant worker sells,American flags
hot afternoon---,she's lost in her book,I in her décolleté
hot September day---,homeless man stands,by ice cream truck
a street artist,soon finished the skyline---,September fog
cutting up red pepper,for the salad---,a drop of blood
she ties her grey hair,in a bun---,August blue sky
eating chicken---,the wish-bone so small,I wish better weather
the remnants,of a hurricane arrive---,and his mother-in-law
arguing with my neighbor,across the fence---,a sparrow changes sides
happy hour---,she tells the bartender,she lost her wedding ring
dark August clouds---,looking up Hiroshima,on the map
morning fog---,listening,to minimalist music
Madison Square Park,live folk music---,no one wears red suspenders
Summer haze---,the nude beach,is empty
July dawn---,the pier is littered,with beer bottles
old couple view,a distant lighthouse---,July moonless night
Fourth of July---,another day,at Guantanamo Bay
Independence Day---,an illegal immigrant,serves me a meal
the long days of Summer---,I start reading,Marcel Proust again
hot day---,she writes a haiku,in minimal clothes
cool breeze---,the cicadas,sing louder
Summer Solstice---,an air conditioner drips,on my neck
end of the month---,no bread left over,to feed the sparrows
Summer carnival---,a flat chested woman,enters the wrong rest room
grey day---,the mailman passes me,"with no ""have a nice day"""
Summer---,a tree's luscious green,covers the walk signal
overcast morning,the smell of steaming rice---,Summer
late night---,fireflies rise up,in the cemetery
brilliant blue sky---,I finally washed,my windows
hurricane season started---,my neighbor buys,a hybrid car
a cool breeze---,finally,she says something
an ice cream truck,stands on Fifth Avenue---,it tastes the same
listening to a sermon,on Saturday night---,no mention of hell
the UN tower---,all the windows,have the same color
Memorial Day---,starts Iraq's,scorching Summer
morning haze---,she's still wearing,her chiffon nightgown
a baby fly,has not found yet,the kitchen---Spring
Spring dark clouds---,my barber asks,if I want all the grey out
warm Spring night---,her cleavage glistens,under a crescent moon
blue sky---,a cleaning lady takes,the morning train home
sunrise---,the purple buds,in her flat garden
cold and dark Spring day---,a dead squirrel,in a tree pit
morning rush---,the usual,black knights
downpours,on Tax Day---,but for me no refunds
heavy Spring rain---,in a bar the beer,runs like rivers
morning rain---,umbrellas,go to work
wearing a white mask,because of the pollution---,a day moon
Good Friday---,my neighbor prays,in a mosque
gloomy day---,a blind man passes,a blooming cherry tree
warm Spring night---,a setting moon,takes its time
all the snow melted---,she wears her,angora sweater
early March---,new graffiti,shaped like a tulip
a silent movie---,the audience,keeps on talking
morning rush---,light,at the end of the tunnel
foggy day---,I visit,the Turkish baths
a hawk flies high---,traffic crawls,on the highway
the Ides of March---,a cat has passed,nine dogs
morning stillness---,a crow finally,flies away
Fat Tuesday---,an ice cream truck,parks on melting snow
Ash Wednesday---,no line,at the halal food cart
she speaks English,with a Provence accent---,I order a glass of rosé
on a fire hydrant,I tie my shoes---behind me,a dog waits its turn
winter morning---,too many men,wearing grey suits
cold night---I pass the statue,of a man wearing,a winter coat
February First---,a sun ray dances,on her cell phone
extreme cold weather---,the stars shine,more brightly
very cold day---,a stuffed bear,stays under the bed covers
the price of tortillas,goes up---,let them eat ethanol
soft spoken---,her jewelry and music,are heavy metal
blizzard---,too much powdered sugar,even for Valentine Day
gloomy afternoon---,a red haired woman,smiles at me
snacking on,blue corn chips---,moonless night
at a general statue---,a dog salutes,by raising its leg
cold Saturday night---,the barmaid puts sake,in my green tea
beautiful winter dawn---,I ran out of,Jasmine tea
strange faces are out,this saturday night---,the moon
early morning---,last night stardust,is on the lilacs
morning haze---,I keep recounting,how many Santas
morning commute---,the silence,of end of the year stress
overcast morning---,not enough sugar,in the rice pudding
morning rush---,a blonde,with no lipstick
Autumn sunset---,a birthday balloon,rises
Fifth Avenue station---,the sound of hoofs,on the pavement
grey morning---,I check out a new,tanning salon
a bartender,needs more olives---,the bridge lights turn on
a dog patiently,waits for his plate---,Thanksgiving Day
Black Friday---,so many turkeys,at the sales
the harvest is over,I hang the sickle---,crescent moon
Autumn morning---,neighborhood graffiti,has changed colors
hell---,a homeless man,wears a new garbage bag
overcast day---,I look at old pictures,in black and white
my morning train,delayed---a seagull,flies above the tracks
Autumn night---,a homeless man,has a pumpkin
she wears a purple blouse,at sunset---,I order espresso
October last Sunday---,lost an hour,resetting an old clock
sweet bitterness,of a dark chocolate-,winter time
bamboo flute,the scent,of green tea
at the end,of a long learning curve,a helmut of white hair
nearly dusk...,desire,without a name
undressed,by your words,october chill
fall morning ,extra sugar,in my tea
fading bruises,birdsong,in the distance
a weekend,with my lover,...wildflowers
after the rainstorm,another thought,about last night
waiting,for the meds to kick in,full moon
everything,i’m not,winter rain
war vet on the corner,holding a sign,…someone’s son
two pills,past midnight,hidden moon
autumn chill,last night’s mascara,around my eyes
divorce court,red heels,one last time
laundry day,my new jeans,the color of midnight
another classmate...,the pile of flowers,says it all
weekend lover,a bird call,goes unanswered
what was it,you wanted to say,summer drizzle
the price of peaches ...,sunday's talk,with my dad
windowless room,i try,to imagine blossoms
spring morning,one egg left,in the fridge
memory care unit,snowflakes melting,on the window
internet dating,a butterfly flitting,from rose to rose
waiting room,ivy growing,on the outside wall
evening star—,fold upon fold,the quiet blue hills
spring thaw,everything drips,including my nose
autumn chill--,time for a hot bowl,of chili
frozen pond--,the moon trapped,in a crack
November night--,the smell of burning leaves,and marshmallows
high summer--,the sounds and smells,of a traveling fair
gentle breaths--,the window's,frost etchings
quiet lake--,the only sound,a jumping fish
meteor shower--,in the cold our gasps,become visible
failing light--,the ash tree,heavy with  birds
fall equinox--,another day,in the  90's
evening   news--,the burden of  snow,on my son's   balcony
under the snowpack,the garden  buddha,still keeps his smile
uninvited guest--,a fly zips  through,the opened door
stoplight,each of us tapping,to our own beat
Mass over--,the rush to be first,out of the lot
5am--,bird songs lost,in air conditioner noise
at the feeder,more birds than room,the smell of snow
midwinter vanished,in a bite of homemade,strawberry preserves
while washing spinach,how nice to find,a haiku there
covid 19,...pish-the-bed puffbaws,bidin a braith
covid 19,...dandelion puffballs,awaiting a breath 
fir a new granbairn,she lichts a caunle,...peerie lowe souchin
for a new grandchild,she lights a candle,...tiny flame breathing 
rin-ower pheasie,...tasht,wattergaw
run-over pheasant,...crushed,rainbow 
maitin granfaither -,the wye,he yince maitit me
feeding grandfather -,the way,he once fed me 
dudoon,aye wairmth,in her rosary beads
sundow,still warmth,in her rosary beads
a singul leaf,reelin doon,...day o the yirdin
a single leaf,spiralling down,...day of the funeral 
thayr bairn's,hame-wrocht mobile:,streeng'n yill cans
their baby's,home-made mobile:,string and beer cans 
it the bus-stap:,a pish-the-bed seed baw,bides fir a souch
at the bus-stop:,a dandelion seed ball,waits for a breeze 
faimily tae bide -,the hoose,fou o peerie claes
family to stay -,the house,full of tiny clothes 
derelict site  -,a buddleia,...such sweetness from ruins
ootby the maisic chaumer,twa youthie maws,...ettlin tae git in tuin
outside the music room,two young gulls,...trying to get in tune 
suddent,the pish-the-bed batch...,thair stobbie herrcuts
suddenly,the dandelion gang...,their spiky haircuts 
dumpin's baw,heich the err,...day o an eclipse
kicking his ball,high in the air,...day of an eclipse 
clear vause o roses -,deep in the watter,muckle breers
clear vase of roses -,deep in the water,magnified thorns 
picnic -,butterflies and,flies in the butter 
hern an me -,oor harns,collin ilk ither
heron and I -,our brains,shaping each other
tree less corners,the tall shadows,of beer bottles
Halloween night,ghosts and goblins,watch the rain
desert wind,the potter's fingerprints,on an ancient shard
together,we watch the eclipse,far apart
faded asters,the cortege pauses at her gate,moves on
biopsy,just a cyst - this time,a break in the clouds
plastic flowers,placed beside the highway,memory fades
mud puddles,leaving behind,a high heel
heavy snow,the smell of hot soup,under a neon cross
dead cat...,open-mouthed,to the pouring rain
sleeper train,the muted glow,of unknown cities
Fragrant spring blossom,children play outside until,there is no more light.
howling wind,the nurse increases,mum’s morphine
planetarium ,my child’s grip,starts to loosen 
I dig a hole,for the stillborn kitten . . .,winter stars
cold starry night -,from the forest edge the sound,of animal kill
herd immunity --,wild turkeys crossing,a busy highway
24-hour news --,I can't stop looking,at the fire 
pandemic life --,dandelion seeds,in the air
travel ban,a flock of geese,overhead 
retirement plans,beach sand blowing,in the wind
self-quarantining,without fanfare,backyard Buddha
reluctant to fly away,the egret,and I
writer's block --,a ferry,stalled at the dock
industrial waste --,an otherwise great,guitar solo 
northerly wind --,the shivering cord,of a flagpole
America first --,a line forms,for the taco truck
harvest moon --,a little boy's,first haircut
wolf moon --,the dog sniffs,every footprint
longest night --,we finish our wine,too quickly
high tide --,the smell of weed,by the docks
waning moon --,my mother pretends,to know who I am
house for sale --,dismantling,the wheelchair ramp
my retirement plan --,tree pollen,floating in the wind
new moon --,the final,mortgage payment
flower moon --,last stop,of the bachelorette party
a discolored wall,where the mirror,used to be
double shift --,the cocktail waitress serves,a whiskey sour
end of summer --,one last bottle,of wine
empty subway station --,the accordion music pauses,between trains
sad news --,opening the windows,to let the chill out
far from Wall Street,a cormorant,dives
lingering clouds --,a stock market,sell-off 
open house --,the rushed paint strokes,of the guest room
prairie winter --,clouds approach,the broken fence
blizzard warning --,wishing I hadn't seen,that black cat
unripe pomegranates --,all that's left,between us
morning thunder --,the garbage man's,early start
Day of the Dead --,my unshaved face,in the mirror
in the ruins,of a beach house,wild orchids bloom
equinox -- ,we split,the last beer
despite all my worry,the fragrance,of honeysuckle
gibbous moon --,all that's left,of summer
end of summer --,watching the Dow,fall
late summer chill --,a young man's,obituary
lightning --,her nightgown,comes off
sturgeon moon --,an ancient,burial site
heat wave --,she stops adjusting,her shoulder strap 
windless night --,a slow dance,of fireflies
approaching storm --,children playing,with matches
a final date --,mingling their ashes,in the lake
missing in action,the hollow eyes,of a veteran 
spring sunshine --,another freckle,to kiss
dogwood blossoms --,an ultrasound,of my newest grandson
morning fog --,a second cup,of bad coffee
Good Friday --,dandelion seeds,in the wind
Good Friday --,an unexpected,phone call
a long conversation,about Mom --,slow soaking rain
over leftovers,an argument about,the causes of war
news of her death —,winter moon descending,beyond the trees
restless night --,footprints,on the moon
a break in the fog --,my daughter's,new address
death of a dictator --,the ebb and flow,of the sea
election eve --,driving home,in the dark
cactus flower --,I didn't realize,she knew my name
Day of the Dead --,walking into,a strong perfume 
defying,the autumn gloom --,red maple
in the hollow stump,of the old tree,wild poppies bloom
deep autumn --,a row,of empty beach houses
hurricane watch --,the tall tree's shadow,over our house
hunter's moon --,she asks if I've found,what I needed
migrating geese --,no one asks them,where they're from
troubled sleep --,sparks,from a high-tension wire
summer haze --,someone murmurs,"""Alzheimer's"""
harvest moon --,her updated,relationship status 
summer twilight --,the instructions,for my ashes
blood-tinted soil,where the sugar plantation,used to be
crowded train --,the bright red glare,of her lipstick
hay moon --,the farmer's daughter,in heels
the enlightened man,wearing lipstick,on his collar
starless night --,the deep croak,of a bullfrog
thunderstorm --,a late-night,visitor
overcast night --,the mouse trap,snaps
summer rain --,the garden gnome's,weary smile
threatening sky --,the hum,of a power line
roadside puddle,a street dog licks,the winter moon
impenetrable haze --,the other side,of the bridge
biker couple,covering their tattoos,with sunscreen
ocean view --,the old dog,on a leash
empty ferris wheel --,the last time,we kissed
crossing the border,without a passport --,great blue heron
strawberry moon --,the ribbon,in my granddaughter's hair
another meeting,swallowing,my cold coffee
in the rubble,of my childhood home,wild flowers
honoring those who've served,by wearing camouflage,in front of the TV
guarding,the suburban lawn,a smiling Buddha
gibbous moon --,her unfinished,tattoo
Delta blues --,a bead of sweat,on my beer bottle
stationary front --,the same haiku,I wrote yesterday
invisible on radar,the lingering mist,between us
thunder clouds --,he tells me how many days,he's been sober
pink moon --,a taste,of what comes next
after the rain,my mother forgets,who I am
crowded cafe --,the barrista misspells,my name
from a windowless room,the ocean view,on my screensaver
starless night --,my favorite pub loses,its liquor license
cold spring rain --,where I buried,the puppies
black ice --,the doctor would like,to run more tests
new moon --,the darkness,within
a mother's vigil --,the rhythm,of the ventilator 
mezcal morning --,the church bells,out of sync
new construction --,chopping down,my childhood
over Monday coffee,the conversation shifts to,"""The Walking Dead"""
end of the weekend --,I finished that beer,too quickly
my retirement plan,the ripples,in a mud puddle
under candlelight,she tells me,about her scars
"""spring sleet""",he hisses,through clenched teeth
city lights --,the glitter,of broken glass
St. Patrick's Day --,the first green buds,on the old tree
writer's block --,heating up,the leftovers
starless night --,I finish the wine,too quickly
melting snow --,the nurse searches,for a pulse
a neat pile,of all your letters,before I burn them
crickets,in imperfect,harmony
spring cleaning --,cropping her out,of a photograph
news of his relapse --,how slowly,the rain falls
moonless night --,apologies made,in the passive voice
early bird special --,at least fifty,shades of grey 
snow flurries --,trying to remember,when I first turned gray
secluded highway --,we turn,the radio off 
winter rain --,a birthday reminder,for a dead friend
stopping,for the fire truck,cicadas
waiting for the train,a huddled mass,of smartphones 
zazen—,that fly battering itself,against the sunny window
morning meditation -- ,a steaming,manhole cover
winter rain --,the dog and I,exchange sighs
asleep at the wheel,the ghost cabbie,of my nightmares
gibbous moon --,she's not telling,the whole truth
two-hour meeting --,shadows creep,across the table
frost on the windshield --,I remember how much,I drank last night
budget cuts --,a crescent moon,on the horizon
Ash Wednesday --,a dusting,of snow
police sirens --,another night,without the moon
final approach -,she pencils in,her eyebrows
melting snow -,an unfinished,haiku
the Dow falls -,rose petals,in the wind
between doses,of cough medicine,silence
snow flurries -,my unborn grandchild's,perfect fingers
stuck behind,a schoolbus -,thunderclouds
crescent moon -,leaning her head,against my shoulder
icy conditions -,another slide,on Wall Street
converting to condos,the nightclub,where we met
in a dark place,quietly fermenting,homebrew
new moon -,time to lose,the beard
emptying the wine bottle -,another conversation,about Mom
my stock portfolio -,puddles filled,with winter rain
occupying Wall Street,the ghosts,of my retirement dreams
that recurring dream,in which I pull the fire alarm,and run
epiphany -,Jesus and Mary,stopped at the border
epiphany -,the gift of a dead mouse,at the door
not softened,by sepia tones,images of war
first thaw -,someone should have warned,the daffodils
snow turns to rain -,wondering when,it all went wrong
war -,fathers,burying sons
domestic terrorism --,winter moths,at the door
harvest moon --,grass gone to seed,on the tennis court
huddled smokers --,another conversation,about The Cloud
hazard lights,through raindrops,October leaves
cold stethoscope --,I lie to the doctor,about my drinking
starless night --,I can't believe,the weekend is over
after the rain,a puddle filled,with stars
abandoned school --,a soft breeze ripples,through the weeds
after the conference,pigeons feasting,on crumbs
still pond --,a dragonfly lands,on the moon
severe thunderstorm warning --,a murder,of crows 
daylight fades --,my mother asks,the same question twice
ghost town -- ,a rooster crows,for no reason at all
end of the road --,three big dogs,with nothing to do
an oasis,in the Bible Belt --,adult book store 
after the storm,the streets,have no names
early autumn --,the golden highlights,in her green hair
mixed precipitation --,a flat finish,on Wall Street
a long meeting --,permanent marker,on the erasable whiteboard
sipping absinthe,the impressionist painting,of night
urban incense --,a steaming,manhole cover
sailing the seas,of my subconscious --,her fishnet stockings
wolf moon --,suddenly I see her,in a different light
laundry day --,the search,for matching socks
Christmas leftovers --,my mother forgets,why she called
the sudden chill--,a fresh layer of ice,on the fire escape
bad beer --,the stock market,goes flat
mixed precipitation --,she tells me I look good,for my age
enlightment --,a police car,on fire
Thanksgiving night --,an empty parking lot,at the nursing home
Thanksgiving rain --,the unblinking eyes,of a shelter dog
Thanksgiving rain --,the dog,no one wanted
alone at the bar,the missing letters,in a neon light
new moon --,the doctor schedules,a biopsy
morning fog --,an empty,tequila bottle
asleep,on the subway floor,the unknown soldier
Veteran's Day --,the old dog's,gray muzzle
tornado watch --,now available,in HD
my daughter's birthday --,a child's balloon,above the clouds
spring mist --,my granddaughter cries,in my arms
Patriot's Day --,a homeless veteran's,weathered sign
