rectory roofers,their ladders,take them higher
temple bells . . .,the clink of coins,in ceramic pots
i check once again,for any missed calls??,intermittent rain
crewelwork,the musty scent,of geraniums
high sun,ants to the top,of the okra stalk
august rain,the one bitter almond,in a whole bag
nailing roof iron,with my father's hammer,. . . the echoes
attic light,dust rising from the dark,in the magic hat
ebb tide,mangrove roots hold,a downy feather
dentist's window,birds picking out,the sunflower seeds
low tide,dusk collecting,in the shells
the snow melted,fences reappear,between neighbors
nuthatch,headlong down the oak,vernal equinox
spring morning,doing something new,with pink scarves
straggles of mist,ancestors evaporating,in a highland dawn
all that stirs,in the river's womb,spring rain
log split,a moth,flies out
spring shadows??,new razor,for the teenaged son
first swallow of the season,modigliani's woman,longing for it
resurrection sky,mother somewhere between,here and there
one year on . . .,a black-faced sheep,grazes the regrowth
winter shadows,adding water to the last,of the soup
snow beginning to drift,my mother shares memories,she never had
midwinter night,between the swells,beyond the surf
meandering,along the ice cracks . . .,a midnight moon
camphor flame,a mother directs her child,to pray
winter roses,father shows us photographs,he no longer sees
deep winter,how often we opened,windows to persimmons
here other,than wind's lamentation,nothing is
winter stillness??,turkey tracks frozen,in the ice
reconstructing,a field mouse??,owl pellets
late fall??,squirrelways,in the canopy
gifts from my mother,unwrapping them,with their shadows
sipping tea . . .,pine needles brush,my window
left soaking,in dishwater,the long night moon
bright winter night,my head,made of glass
dry leaves??,between each step,a silence
"no season word,",yet autumn pervades,her suicide note
solstice light,i take,what is offered
log fire,the steady click,of knitting needles
new year's eve??,the harpist's fingers,glide toward midnight
autumn begins . . .,the crack of an acorn,beneath my shoe
the morning moon,accompanying me,to my new job
riffles . . .,a belted kingfisher,splinters the light
maroon recliner,unwanted in the corner,motionless sea
prairie sky,the trucker secures,a wide load
a fossil fish,in a box of beach sand . . .,first day of school
almost dusk,the trawler men,drink tea
dad's yahrzeit??,a white moth,clings to my window
ship's rail??,moonlight all the way,to the moon
indian summer??,the distance,between roses
dry brook,a choice,of stepping stones
first men on the moon,the first time i tasted,rattlesnake
heat spike,a blister beetle probes,the cactus flower
i remember,your braid??,girl gone to soldier
a mill wheel,slowly turning??,more and more stars
thunderstorm??,the autistic boy,beats his drum
skinny dipping,the black eyes,of the fish crow
the child,a bit ahead of us,summer stars
hiroshima day,a giant peony blooms,in my dream
moonless night,i close my eyes,and disappear
early morning silence . . .,soon enough,everything
summer solstice,one flip-flop,circling the pool
shade for the longest day of the year,?????,clouds we?ll never feel again
landfall,for a jellyfish,and lightning
for a moment,your shadow,is my shadow
drawn blinds . . .,just in time a skink slips,from my sandal
cumulonimbus,a man rolls a cardboard box,too large to carry
a girl's laughter??,waterfalls flinging,rainbows
shooting star,my wish for,an unhurried life
the woman,i say i don?t love,key lime pie
afternoon tea??,each ant takes away,a granule of light
along the roadside,dixie cups,of summer wind . . .
fording the river,the moment closest,to neither bank
north star,so many places,to call home
distant galaxies . . .,taking another,wrong turn
heat lightning,the fly moves below,my ankle bone
day moon,the hollow sound,of the water tank
summer night:,the coin laundry's,fish-less tank
goat-bell,a star,goes out
midnight dusk,the blur of moths,around a buddleia
a deceased friend,taps me on the shoulder??,plum blossoms falling
a drop of pond,at the end of a beak,setting sun
gunshot,every pine needle,pointing at something
new year's eve,an invitation,to be japanese
the rasp,of a homemade broom,morning chill
master potter,almost not touching,the clay
crashing waves,mother darns a sock,by candlelight
a slight tinkling,in the dishwasher,winter evening
juncos burst,from snowy bushes,the glitter
frozen moon,a red pagoda,in the fishbowl world
saffron dawn,a leafless tree,live with birdsong
hallowe?en,a sky full of waxwings,flock to the rowan
snow before dark,the field bundled,into bales
the neighbors,all seem busy . . .,last days of fall
almost winter,the spider,makes a repair
pumpkin carving,many faces,come to mind
evening walk,the deer must,know me by now
plymouth rock,generations of boaters,debating the moon
condo skeleton,the hunter's moon moves,to the penthouse floor
winter solstice,every windshield,transports a sun
fly after fly . . .,the steady swish,of a bull's tail
end of summer,our daughter's vacation,gets shorter each year
near sunrise,the aspens already,alight
labor day,a crown of mushrooms,on the compost pile
morning sun,the headstone shadows,align
high tide,a plastic dump truck,moves another shell
harvest time . . .,the doubts that leave,the doubts that remain
morning fog,a few poppies,burn through
harvest feast,the warmth,between my parents
kitchen conversation,we allow the dusk,to linger awhile
midnight moon,dark stalks of spanish dagger,pierce the snow
soft rain,the clatter of young barn owls,trying their wings
bleak morning,her footprints,filled with rain
first love,all but forgotten,the meadowlark's song
sun clears the ridge,a finch's gold,flickers in the woodpile
eggshell fragments,what i know of the mother,i?ve never known
the cries,in the marsh rain,jacksnipes
old cemetery,the gate swings,both ways
bathed in sunlight,the day roost,of the rufous owl
climbing out,of the ocean's roar,cliffside daisy
winter solitude??,a potato,begins to sprout
clinic waiting room??,beyond the window blinds,more walls
clear and cold,the home health nurse,late again
on the ride home,river ice breaking,our silence
feeble light,the slow melting,of eucharist
meditation??,the dent in the monk's,head
black ice??,dad's bloodwork,in
new friends,the potholed road,to their house
sound,over white waves,swan
pear blossoms,on the windshield,we wave goodbye
posting the cards . . .,almost enough snow,for a snowman
winter solstice,her first kiss,since the divorce
winter solstice,halo of a candle flame,behind a drawn shade
new year's eve,leftovers warming,in the pot
going back,into the memento box,everything fits
festival of lights??,the old dog,begging biscuits
my tea cup,still too hot to hold,the shortest day
last day of the year??,red plastic roses,fading in the shop window
dried anemone,in a diary,"no when, no where, no why"
thinking,the unthinkable??,old cat
hint of frost,the spruce tipped,with jupiter
pumpkin weather,the big smiles,of the candidates
withered corn,the runner in last place,turns it on
mountain music,the poverty,in minor chords
thanksgiving,we have the wind chill,to talk about
cold snap,a bite,of the radish
miles to go . . .,the grazing,roadside deer
squirrels chasing,each other . . .,i am still alive
shadows,drifting into the garden,the hunter's moon
perseid shower??,tiny green apples,dot the lawn
child's grave,from birth to death,the moon
old stream??,the moon floats into,the blue hour
squabbling squirrels,i no longer remember the names,of childhood bullies
indian summer,a kid drags his backpack,in the dust
yellow leaves,her 30-step hopscotch,in pink
down the street,and back again,october wind
ancient courtyard,bagpipes and drums pulsate,through the cobblestones
ochre moon,the road-train's light,in the kangaroo's eyes
readying for bed,i open the shade,and let in the moon
sun low,chins rested,on the losing oars
dusk??,sandpipers jab,the foam
outside the wake,cigarettes,dot the dark
autumn chill,the cracks i don?t,step on
autumn light,the cantor sings,a sinner's prayer
almost a moon,the weight of the glass,as it empties
my sister's side,of our childhood,moonlit night
early autumn,the old priest,trembling with tolls
shared grief,the splash of oars,in the fog
snap of a clipboard,in the all-day workshop,the heat
heat lightning??,christmas beetles,spangle the fly screen
yet again,by the river,a pair of knickers
old pond??,if only my face,would stay so smooth
bamboo bending,in the wind??,i bargain for mangos
know-it-alls talk,through rolled down windows,dusty road
village festival??,the last firework,joins the moon
aftershock,a tremor lingers,in the dog
waning summer moon,mom and i,compare hands
summer's end??,a dog-chewed stick,by the edge of the pond
cocktail chatter,fruit flies sally,glass to glass
bottlebrush in bloom,there was a time in my life,when i wore red
breathless quiet,of a summer evening . . .,ship in a bottle
forested ravine,just enough light let through,to gild a ripple
wildflowers,today's news the same,as yesterday's
hummingbird,with the wave of an arm,i work out her tattoo
never more open??,the precision,of a water lily
tangled roots,at the high tide line,a white feather
sunset stretched shadows,a strawberry seller holds out,the day's last box
where words,fall away,all of the lily
summer solstice,the old canal lock,cranked wide open
fragrance,fills the gap,between the flowers
bullfrog moon,silence goes,where the heron goes
crashing waves,our footprints meet,in the sand
shiny,tin can,maybe peas
teashop table . . .,i watch rain drops,pop on the road
irises open or closed,the round mouth,of the iron bell
starry night,the space in me,she fills
sound of a car,hitting the manhole??,all-day drizzle
believing,she loves me . . .,the blue of the sky
all night rain,she begins with,?let's talk?
brisk breeze,the wayward kite stretching,a boy taut
graduation,a bee crawls on the cap,in front of me
barnacles,persist along the pier . . .,our second honeymoon
my future . . .,from beyond the fence,sheepbells
dry season ends,the scent of wet earth,saturates me
class on the quad,my eyes drift,to the afternoon moon
thunderhead,flies return quickly,to cantaloupe rinds
13th birthday . . .,wild rose buds,angled out
childhood home . . .,my climbing tree's,phantom limbs
spring morning,i decline the offer,of a draw
fountain pool,all the circles,where the coins used to be
no wind,no breath to lift the sails,baby swans
the flag at half mast,orchard blossoms fill,the bigger picture
getting acquainted,some wild mint,in the garden
in a nut shell,there is never,enough room
how to dress her,for eternity??,blossom rain
on hold??,the rain,turning to snow
hill climbing??,with each step beech leaves,younger and younger
bend in the river,swans introduce their young,to the flock
migrating geese??,the things we thought we needed,darken the garage
looking,not looking,roadkill
each streetlight,with its own rain??,click of mah-jong tiles
the first night,the bright star's,below the horizon
news of her death,on the night table,the book unsigned
hummingbird flight,the swiftest movements,are invisible
the last,stair step??,breathing the sky
an empty chair,beside me??,crickets' requiem
softly at first,on a swollen wind,voices in the rain
harp music . . .,wild pear blossoms,in the teacher's window
ebb tide beach,so much to be treasured,left behind
twilight beach??,a full moon rises from,the darkening sea
late summer,one floating leaf,already red
late summer clouds,a light breeze rustles,white hydrangea
first frost,golden foliage holds,the sunlight
a faint silver line,arches the night sky . . .,moonbow!
gray summer sky,seed-beads sparkle,on a blue silk thread
a final splash,while the light holds . . .,golden shafts
clear sky,how much she loved,the color blue
sunlit hilltop,she gently sets down,her daisy chain
school closed,fireflies gather,under the willow
this lambent light,over autumn fields,southbound geese
"morning glories,","butterflies,",were they not right here?
no last goodbye,so soundlessly the turtle,returns to the sea
reading her poems,the stillness of hummingbirds,in flight
wind-borne seed . . .,i have,no doubt
a beach dune,drops a little sand . . .,the autumn stars
a voiceless cicada,quivers on the reed by,the heron's nest
flowering briefly,you,and the spider lily
the poet,sings a new song,sound of rain
birdsong,a clothesline,dripping light
"shore for the poet,","shore for the poet's work,",water lily fragrance
round and beautiful,the moon breathing with cut grain,slowly moves westward
autumn,the great blue,gone from the marsh
familiar hymns,prayers worn deep,in the wood
autumn moon,turtle crawls,in the sand
september mist??,someone,i've lost
summer clouds . . .,the steps to the lighthouse,are painted blue
sweet magnolia,spanish moss leans,with the breeze
more darkness,more stars . . .,autumn begins
new coolness,the old dog stays,closer to home
half moon,your half interest,in the tryst
seventh-inning stretch,a foam finger pointing,at the autumn moon
falling leaves,my friend and i,discuss clutter
gray morning,the concrete business,of pigeons
rocking chairs,chained to the porch,leaves in the wind
moon viewing??,one of the garden lanterns,lights up
autumn wind,the leaves too,made of oak
all hallow's eve,moss-draped hemlocks,fade into night
the spiral,in a red hothouse rose??,year's end
longest day,dipping cornbread,in buttermilk
heat wave,a fly moves slowly,away from my swat
brush fire??,the sun goes down,in flames
withering heat,on the shed's tin roof,green black walnuts
last blackberries,again she playfully,tells me to shush
summer rain,waking to find the tent the size,of a mosquito
random beach stone,imagining,my biography
field of sunflowers??,at the edge a boy,in a yellow hat
summer's end,the wisteria,doubles back
moonrise??,black swans make way,for the rower
opening day,for sidewalk dining??,a waitress pulls weeds
gray tree frogs,calling from the ditch??,wrong side of the tracks
up the mountain,the dog brings,his own ball
starry evening,i can still,make you laugh
river narrows,the pitched call,of an osprey
uptown caf? . . .,she picks the flowers,out of her salad
red campion,the pathway unwinding,so easily
mountain top??,in the valley deep below,death bells
empty farmhouse,a vine wrapped around,the weathervane
damp spring evening;,body smells,of the home-coming dog
unmarked graves,the wind holds,a hint of sea
half sun,a ewe rests her chin,on her dozing lamb
wild seeds,the garden,arranges itself
blossoms,some of her words,i know by heart
lake mist,the shaman speaks,of water spirits
brittle cold,the day moon,half gone
farm for sale,the grandchild picks,a bouquet of weeds
april playground,only the teacher,wears a coat
swollen river,a jacaranda bud,in the child's palm
third-day moon,my side of the pizza,with anchovies
first frost,radish seeds rinsed,for the sprout jar
what she said,driving home,the sound of blinkers
sudden cries,through the pines,plough of geese
memories,the soot,on the roof tiles
freezing rain . . .,the one who took,the placebo
thanksgiving drive,after the bustle,"quiet fields, deep shadows"
crow caws,in all directions . . .,the endless traffic
january,the wind ruffles,walking crows
night crossing??,salt spray rises,up through the anchor hole
taking his leave,in a winter dream,my oldest friend
fall morning,men move lumber,from pile to pile
moonless night,the wet trash bags,reflect the stars
shallow stream,the leaf that bumped my ankle,drifts on
late afternoon,liquidamber leaves,in the hamper
sunlit moon,the whiskey shines,between sips
autumn equinox,salamanders cross the road,from both sides
cicada husk,on the campus sidewalk??,sound of the fountain
a marsh harrier,slow over reed plumes,indian summer
the blues song,in another chord,autumn deepens
wild thoughts??,the late geese,and their bugling
deep in the cedars,walking to the jingle,of our bear bells
rib shadows,on a loping coyote,a field of cut hay
releasing,the day's only catch,summer slips away
autumn afternoon,in the cemetery,every bench taken
river washed stones,remembering a woman,who knew how to love
dry grass,the rattle of ice,in the tea pitcher
summer's end,a crawdad's firm grip,on hotdog bait
shallow river,the boat,at dragonfly speed
garden bench,my warmth left,for the autumn rain
deep night,clocking the moon,by the pine
pink sunrise,the black seeds,of a watermelon
evening cool,two barefoot boys,fish the stream
heat wave??,children's voices,after dark
thunderclap,the warmth,of her breast
gone to seed,a wish not mine,breezes by
salad days,the heat of hormones,and beach sand
young boys,wrestling in the yard,wild rhubarb
boys' dorm,the glow of a firefly,in a bottle
robbing the bees,she speaks of,lip balm
city park,sun getting low,in the bottle
sunday afternoon??,end of a dog's leash,whipping through the grass
the long heron a-a-wk,toward a tree . . .,middle of my daydream
tail-flicking cattle,mired mid river . . .,the heat
loons scattering . . .,a floatplane touches down,into summer
moonlit grass,and black shapes of cattle,a distant flute
street fair??,easy to find,the balloon man
road-testing,her electric car,the silence of stars
chilies roasting . . .,the old pickup truck,backfires
getting acquainted,our children,fight over a seashell
summer rain,i walk through the odor,of the sky
cinco de mayo??,losing my daughter,to the dance floor
temple steps??,a man with a snake,offers to tell my future
mother's day,i cut the long white root,from a carrot
deep in thought,the pitcher plant,wide open
warm day,a koi sways,on her fan
still not tired,to give??,apricot tree
a moment alone,in the desert of iraq,her damaged photo
butterfly garden . . .,a big voice answers,a small one
the day begins,descendants of dinosaurs,"darting, singing"
near the mountain top??,the wind doesn't stay,on the path
auction day,dead leaves swirl,around the stone seat
wordless,in my borrowed tongue,plum blossoms
unseasonal heat,a woodpecker,and its ideas
a blossom,in the bird bath,sunny side up
mind chatter??,interrupted,by wildflowers
narrow sidewalk,i'm under her umbrella,for a moment
first sumi-e,my apologies,to the bamboo
each needle,on the saguaro,first light
stray thoughts,a butterfly probes,the netting
a handstand,just to see if i can??,honeysuckle
one leaf's,slow somersaults . . .,oh to start over
grandad's story,candle light flickers,in the snakeskin's eye
north wind,the holes,in my beliefs
valentine's day,i divide,the orange segments
he rolls a smoke,with blunt-tipped fingers . . .,huddled sparrows
winter sun,the spine of one book,out of line
a blizzard outside,i want to believe,what the preacher says
kindling,no time like now,for that first kiss
power breakdown??,a mother nursing,in the dark
canyon winds,pine cones skip,from cliff to cliff
ragged clouds,how it feels,to hold a rake
chicken wire,the softness,of the rabbit's nose
labor day,the crease finally worked,into new shoes
hot night,an odor widens,her nostrils
dog days,the ice cream jingle,a four-measure loop
the close of day??,only a peg and a finch,left on the line
low in the west,under the belly of a dog,the setting sun
summer pond,no more room,for the blue sky
day moon,the street vendor's arms,gleaming with bangles
hearing it first,through the dog,distant thunder
evening moon??,the last bale of hay,ascends the conveyor
a baby's lost sock,soaking up the dew,dandelion spheres
meandering stream,clydesdales rest their heads,on each other's rumps
worlds apart??,two river-worn pebbles,in my palm
graduation packed,a door is open,to the cooling world
cornflowers,brighten the kitchen,my mother's eyes
hot blue sky,lamb's blood,on the rook's tongue
our cab ride,one love song long&nbsp?,spring moon
young daughters,whisper in the gallery,statue of zeus
rain-pocked dust,the shell of a snail,not yet hard
cooling the air,trees in a village,sketched by c?zanne
another mother,calling her child too??,the dark of the wind
crescent moon??,the cat grooms,the tip of his tail
first spring day??,picking up,a warm stone
into the teeth,of a cherry petal wind,sparrows
a tangled nest,of fishing line,spring birdsong
stern wind,the branch an osprey,adds to its nest
the kittens,can't yet see us,spring night
overflowing mailbox,arm deep,in forsythia
steppingstones,in the pond,tadpoles
muddy pond,i play the role of a ghost,to fish
cold snap,the scent of garlic clings,to his meat grinder
year's end,clouds carrying off,scraps of moonlight
tracks,of the pallbearers,winter dusk
unlabeled shapes,from the back of the freezer,winter stars
daylight moon??,the pregnant moose,settles into snow
candlelight??,the room shrinks and grows,with every breath
closed casket,the funeral director's,peppermint breath
winter stars,the fishing holes,left behind
deep winter,the old cat squeezes,between us
winter's end,a smell of curry,in the old people's home
river gravel,the stone,i once skipped
freeway drizzle,he helps his only daughter,move out
october sunset,the glow of tomatoes,on the sill
the mugo pine,gathers maple leaves . . .,my husband chose me
sweater weather,the tip of a cane,in the crosswalk
gibbous moon,a paper cut,from
awakening,to the fly-off shuffle,of pigeons from the roof
a grackle,in every tree,random thoughts
train rails,lead away from here??,autumn wind
not as funny,as it sounds,dead duck
strangler fig,the cooling shade,around me
&nbsp?????night garden,all the births and deaths,that will go unrecorded
virgin forest??,moonlight sinks into earth,with my pee
least bittern . . .,i hold the paddle tight,against the current
our passing breeze??,a do not disturb sign swings,on the hotel door
summer dusk,a white flag waves,from the tree house
dying embers??,a few new twists,in an old ghost tale
what we don't speak of??,the rain-soaked gate,swollen shut
releasing him . . .,the bull trout's back,scarred by talons
drifted sand,over campfire ash??,summer's end
paddy fields . . .,a heron glides past,bent backs of women
the hills stir,with unmown hay . . .,summer dusk
faraway voices,fishing nets thrown,in the spotlight
village pool,children beat sunlight,into stars
the attic . . .,my short-lived dreams,under the ceiling fan
road just paved??,a cucumber picker hoists,the wooden crate
starry night,my child makes,more than one wish
solar eclipse,the cat aroused,by settling birds
sandcastle,my child in,his own world
no longer lovers,the rosebush you gave me,has bloomed at last
longest day . . .,children fishing,for ant lions
black clouds,the rain barrel still full,of cobwebs
shy girl,first to notice,the hummingbird's tongue
clear-cut forest,the way,no longer the way
monsoon wind,that touch of dust,on the rain scent
summer morning,a butterfly floats through,the teashop door
mojave sunrise,a splinter swells,my fingertip
shirts versus skins,a vulture spirals,into the sky
historic tour??,the guide points out buildings,no longer there
may sky??,from head to tail,the cardinal's vibrato
a fisherman,on my weeping rock . . .,azaleas in bloom
buttercups dot,the downland pasture??,capering rabbits
bee season,she asks me to listen,to her fruit trees
summer rain??,the potted plants,push against the glass
lilacs at dusk??,"""ready or not","here i come"""
billabong splash,the next turtle climbs,to the snag's tip
on her cheek,an eyelash darker,than her own
frosted grass,the new calves,butt heads
first day of spring,the murmuring pulse,of raven wings
coin in the mud,sinking deeper??,heads and tails
window warmth,flies that came in yesterday,want out
softly raining,this planet has so many,"mouths, so many teeth"
skies softening,the pond ice,breaks from shore
spring flood,the ache,of old loves
barn swallows . . .,pop leaves the door,open a crack
rope marks,on the mustang's neck,spring wind
after the rain,smell,of childhood
gray light,of the coming rain,a raven's cry
life alone,licking,the ladle
the full moon,above a field of snow,staying up a while
deep winter,the sound of mail dropping,through the slot
she shows me,the first snow,a finger on her lips
coffee to go,a dusting of sugar,in with my change
crow caws,a flow of sap,from the maple trees
long thaw,porridge putters,in a pan
almost spring,the lace of my running shoe,trips me again
dried apricots,a comfortable silence,between us
the worn away paint,of canted boats . . .,geese winging in
aubergine clouds,a peacock's shriek,deepens the gloom
skillet rust,stains the sink . . .,whirling leaves
overcast day,how does it go,that song about love
beach stones,the weathered softness,of old jeans
autumn air . . .,the diminishing trail,of voices
steady downpour,a forever stamp,on the condolence card
autumn rain,buttoning the thirty-six,pearls on her gown
fog in the valley . . .,the cd she gave me,stutters
a killdeer pretends,her wing is broken,the smell of cut hay
summer day,a census taker pushes,the rusty bell
the slight hesitation,before our sails fill,summer's end
spring breeze,it's just not the same,with open eyes
our house for sale,blossoms for apples,that won?t be mine
spring morning . . .,balloons cover,the vendor's face
a line borrowed,from another poet,spring rain
high clouds,the crane worker lowers,himself
a warbler,weaving the song,into blossoms
school closings??,the snowmen arrive,flake by flake
the second opinion,no worse than the first,groundhog day
fat bellies,of sparrows,february's extra day
winter sunshine,a cockroach also comes out,of the hole
late-winter twilight,he comes home,without the dog
speaking my mind . . .,a log tumbles,out of the fire
winter night,the slow circling,of the bar rag
finches flit,through dry stems??,winter shadows
waking,into absence,late winter
a snow goose,cups its wings to land??,curve of the shore
spring melt,the susurration of water,in the tea kettle
scattered leaves,a chaplain flips the pages,of his prayer book
glacial potholes,a shrike returns,to the cholla
rainy night,the slam of his car door,brings a sigh
a row of dryers,twirling their contents,longer days
churchgoers??,ice floes drift together,at the river's mouth
spring,an airborne squirrel,open-pawed
mother's bruises,turning purple,holy saturday
the long eyelashes,of the easter pig??,nightfall
first warm day,the training wheels,come off
coat hanger rust,on his church shirt??,winter comes early
veteran's day,it whips the way,wet flags do
a rose hip,bright in the snow,pearl harbor day
christmas eve,searching for the beginning,of the scotch tape
the red-deer herd,packed tightly together,winter sunlight
cut from driftwood,a cross stands,on the headland
the church fills,with smells of overcoats??,morning mist
her small hand in mine,we scrape a rising tone,from the metal bowl
a misty halo,around the streetlight,smoking hoodies
morning quiet,a thin skin holding,the yolk intact
tumbleweed . . .,kids on bikes,in hot pursuit
neap tide??,gulls grubble for clams,in the mudflats
spent shotgun shells,our legs find the rhythm,of the tracks
shades of autumn,the gleaners come,in rat-grey coats
wave after wave,the godwits leave,for siberia
sunstreams,the donkey's neck stretches,into august barley
far away thunder,the polished rocks,in the river
spirits,on the painter's brush??,autumn woods
sand covers,the salmon bones??,autumn begins
teeth on its catch,the rasp of an otter's breath,autumn dusk
deserted trail,my heart skips a beat,over a turtle
inside pitch??,learning to pronounce,new names
morning prayers,her hopi flutes stacked,in the sunflower can
hospital window??,a fingerprint against,the summer sky
long summer,another dog,snarls at me
lily-of-the-valley,the effortless dance,of butterflies
spanish guitar??,leaf shadows flicker,on the empty floor
on vacation??,the sound of the inn,settling
exam table,my feet sway,to an old song
hole in the footbridge,i spit,straight in my face
rusty gate,the beaten track,of its swing
nearly spring,a new facade,for the bridal shop
daffodils??,in first grade i played the one,in jesus? garden
small town garage,miss december,nineteen ninety
navy housing,she plants her garden,in pots
two steers,rub their heads together,morning chill
sleety rain,the flowered umbrellas,sold out
spring greening,a teat for each piglet,but one
hometown visit,an urge to go full tilt,across the speed bumps
spring dusk??,a camellia follows,the curve of the moon
a bare bulb,burning in the barn??,winter fields
winter grasses,a break in our,interconnectedness
hallway light flickers??,i inch towards,the dead mouse
idling bus,the driver blows,into cupped hands
long talk,the sunny side of the street,has switched
cold ocean,moon shards leap,from waves to rocks
bedside watch,a barn owl shrieks,in the snowy spruce
winter morning,i shovel the drive twice,waiting for the hearse
deep inside,the city's sound,winter crows
snow moon,two porch chairs,facing each other
?regrets . . . i?ve had a few?,too much apple,on the peel
colors change,telling jokes,in a foreign tongue
december sunset,the red inside,the mare's thin coat
withering wind . . .,a hurt with a name,i can?t pronounce
christmas dinner,the fifth burner,finally ignites
a moonlit pumpkin field,in the rearview,she fixes her makeup
all souls? day,zombies return,to the costume shop
what's left of my faith:,light from one star,in a blue-black sky
firelight,the hiss and crackle,of an old lp
december rain,the scooter bumps,room to room
new coolness,more neighbors know,my dog's name
school desk,one name carved,deeper than the rest
moonlit shadows,his hands find,my dark places
no voice,but for the stones,autumn brook
hazy moon??,dad's walking stick,knocking in the trunk
small-talk,a flock of starlings,settles on the fence
her due date,the apple at the tip,tilts the limb
corn husk dolls,she hardly remembers,the old place
central park,after a jogger,the pigeons regroup
autumn leaves,the river picks up,its pace
morning yoga??,the curve of a lizard,on the wall
thunderclouds,the soft boom,of a bittern
strewn mimosa,a carnival creature,snaps at the crowd
ripened corn,i write the last line,to my thesis
a cockroach,on the welcome mat . . .,motel dusk
anywhere sun,finds the creek,water striders
six o?clock news,i magnify the world,of a praying mantis
lunch hour??,a whisper of pigeon wings,enters the conversation
wasteland,the dandelion head,emptied of seeds
last night of summer,the old cat and i,go out with the stars
traces of light??,the way back,to the stars
a bit drunk,the sea,softly crashing
a perfect circle,drawn in the sand??,my hand trembles
crescent moon,bare arms brush,evening primrose
mallards drift,into the pickerelweed,lazy afternoon
creek crossing,her hand in mine,one rock at a time
she calls,to tell us she has news,dandelion breeze
red chili pepper,i compare her calendar,with mine
letting the day take me . . .,a sea otter,floats on its back
low tide,the metal detector,misses sunset
campfire sparks??,someone outside the circle,starts another song
unfazed,by my problems,the moon
horsetail clouds??,a biker shrinks,into the open miles
new year's day,waiting,for the wishbone to dry
snowflakes . . .,no two winters,quite the same
the time it takes,to thaw the breast milk??,winter night
winter seclusion,yeast froth rises,in candlelight
in the quiet,of a love scene,our cat purrs
decrystalizing,the jar of honey . . .,january sunrise
a howl,crossing the ice,the moon
late in the day??,the hiss of water,boiling over
winter thaw,the spilled seed cool,to the touch
gulls cry,in a gun-metal sky??,the still water
circling her grave,a bitter wind,shifts the family
the hedgehog,yet to hibernate . . .,rain-matted leaves
under her coat,my shirt,first snowflakes
almost winter??,the blind man's dog,looks at me
lamplit breath,floats along the shore,ghost stories
pecans falling??,we wait for our grandson,to visit
church bell,the smell,of snow
the headstones tilt,at different angles,dustings of snow
flickering lights . . .,he notices my handwriting,on the presents from santa
harvest moon,over an empty wheat field,gettysburg
just can?t help it,correcting the grammar,of the blues singer
full moon,he asks if i?m ready,to sing
dusky nettlebed,the stream just deep enough,for ducks to dabble in
falling oak leaf??,dance macabre,of its shadows
big city morning??,shadows hiding,my shadow
autumn clouds,a carly simon poster,fades into barnwood
honking geese,the jumble of pumpkins,at a roadside stand
yellow leaves in the current,a mink,after a mink
no way out,death's at the door,demanding candy
backstroke??,her navel ring glints,in the moonlight
second week,away from home,wild blackberries
alone at dusk . . .,ice-blocks resettle,in my glass
old letters . . .,flotsam on a river,to the ocean
city dweller??,the sound of the interstate,i call the ocean
rain of stars,the eyes of wish-makers,sparkle with hope
light shimmers,on the undersides of leaves,scent of clay
shooting star??,those things,we tell no one
just inside,the garden gate,the first bench
old orchard beach,before i could think it,cassiopeia
rush hour haze . . .,the traffic warden swats away,a cherry petal
clapboard house,in the just plowed field,sundown
first light??,the soft-sleep breath,of my newborn child
"gnats, gnats, gnats",my bobber,disappearing
ladybug outbreak,the wish i make,again and again
childhood home,i dig out the roots,of a tree i planted
a tributary,muddies the main stream??,middle of spring
the unfading,sun in your face,amaranth
tipping rain,the bull trudges,between tussocks
cormorant's dive,waiting,until my eyes hurt
snow moon,bitter wormwood,still on her tongue
all i wanted,to tell her,bare winter trees
pisces rising??,the big one,runs with my line
my cold hands,a scrabble of bird claws,on the guttering
coffee perking,a ray of sunshine streams,into the rain
wintering,their different ways,birch and pine
huddled pigeons,a taxi waits,in winter rain
wild weather,something of it,stirring in me
vernal equinox,the tender shoots,of weeds
squirrel chatter,in the woodshed,a cache of cones
jade tea cup,the fallen leaves,of the poinsettia
snow-covered hills??,my sister and i coast,into the new year
winter moon,across the wall,my long shadow
city zoo,a wolf looks up,at snow
end of yuletide??,i harvest all the balls,from the christmas tree
dusk . . .,i?m just another glow,amid traffic
winter night . . .,i pick the last grain,of rice from the plate
expanding universe,the homeless man looks,for a place to sleep
a train trip,to mongolia . . .,winter stars
full moon chill,in the green tomatoes,a change of plans
north wind,and the swirl of leaves??,this fire within
the apples left,in a leafless tree: a prayer,for your lymph nodes
first snow??,still knitting,the second mitten
northern lights??,the feel of a planet,beneath my feet
ignoring the directions,on the gps??,indian summer
autumn afternoon,mother touches,my thinning hair
veterans day??,first red flower,on the cactus
hosing the garden,off the carrots??,thanksgiving
a crow at dusk??,ink sinks deeper,into the page
toddler's first,one small step,toward the moon in the window
autumn moonlight,a migrant worker sings,his way home
smoke drifts,from a fajita stand,plaza autumn
the right shoes,in the wrong size,october moon
scent of balsam??,shapes of geese,held in the mist
sheen of apples??,in a migrant child's lap,her own dirty feet
my mother braiding my hair . . .,i realize now,how young she was
walking alone??,my face,disassembles
rushing home,as though you were still there,autumn dusk
autumn leaves,the songs we learn,as children
