Force and yielding meet,together: An attack,is half repulsed.
The faintest shadow,of a branch Fell,on the floor.
"Clotilde, grown staunch With solemn","purpose, softly rose And fluttered down between",the rows Of sleeping nuns.
She,almost,runs.
She must go out through the little,side door Lest the nuns who were always praying before,The Virgin's altar should hear her pass.
"She pushed the bolts, and",over the grass The red moon's,brim Mounted its rim.
Her shadow crept up the convent wall As,"she swiftly left it, over all The garden lay the level glow Of","a moon coming up, very big and slow."
The,gravel,glistened.
She stopped,and,listened.
"It was still, and",the moonlight was,getting clearer.
"She laughed a little,",but she felt queerer Than ever,before.
The snowdrop bed,Was reached and she bent,down her head.
On the striped,ground The snake,was wound.
For a moment Clotilde,"paused in alarm, Then she rolled up",her sleeve and stretched out her arm.
She thought she,"heard steps, she must",be quick.
She darted her hand,"out, and seized the thick Wriggling","slime, Only just in time."
The old gardener came muttering,"down the path, And his shadow fell like a broad, black swath,",And covered Clotilde and the angry snake.
"He bit her,",but what difference,did that make!
The Virgin,should dress In his,loveliness.
The gardener was covering,"his new-set plants For the night was chilly, and nothing daunts",Your lover of growing things.
He spied Something to do,"and turned aside, And the moonlight","streamed On Clotilde, and gleamed."
His business,finished the gardener,rose.
"He shook and swore, for the moonlight shows","A girl with a fire-tongued serpent, she Grasping him,","laughing, while quietly Her eyes are weeping."
Is,he,sleeping?
"He thinks it is some holy vision, Brushes that aside","and with decision Jumps--and hits the snake with his stick, Crushes his spine,","and then with quick, Urgent command Takes her hand."
The gardener sucks the poison,"and spits, Cursing and praying as befits A poor",old man half out of his wits.
"""Whatever possessed you, Sister,",it's Hatched of a devil And,very evil.
It's one of them,horrid basilisks,You read about.
They say a man risks,"His life to touch it, but I guess I've",sucked it Out by now.
Lucky I,chucked it Away,from you.
"He is dead now, but his","colours won't fade At once, and by noon I",shall have made The Virgin's robe.
"Oh, Francois, see",How kindly the moon shines,down on me!
I can't die,"yet, For the",task was set.
""" ""You won't die now, for I've","sucked it away,"" Grumbled old","Francois, ""so have your play."
If the Virgin is set on,"snake's colours so strong,--"" ""Francois, don't say","things like that, it is wrong."
""" So Clotilde",vented,Her creed.
"""He can't do","no more harm, Sister,""",said he.
"""Paint as",much as,you like.
"""  And gingerly",He picked up the snake,with his stick.
"Clotilde Thanked him, and begged that","he would shield Her secret, though itching",To talk in the kitchen.
At dawn's first,saffron-spired warning Clotilde,was up.
"And all that morning, Except when she went","to the chapel to pray, She painted, and when the April","day Was hot with sun, Clotilde had done."
"She drooped, though her heart beat loud At","the beauty before her, and her spirit bowed To the",Virgin her finely-touched thought had made.
"A lady,","in excellence arrayed,",And wonder-souled.
From long fasting Clotilde felt weary,"and faint, But her eyes were starred like those of a saint Enmeshed",in Heaven's beatitude.
A sudden clamour,hurled its rude Force to break,Her vision awake.
The door nearly leapt,"from its hinges, pushed By the",multitude of nuns.
"They hushed When they saw Clotilde,","in perfect quiet, Smiling, a little",perplexed at the riot.
And all,the hive Buzzed,"""She's alive!"
He had found the strain Of,"silence too great, and preferred the pain",Of a conscience outraged.
"The news had spread,",And all were convinced Clotilde,must be dead.
"For Francois, to","spite them, Had not seen",fit to right them.
How could we have,guessed Our convent,so blessed!
To,have,you die!
"And I, who am","A hollow, living shell, the",grave Is empty of me.
"Holy Mary, I","crave To be taken, Dear Mother, Instead",of this other.
""" She dropped on her knees and","silently prayed, With anguished hands and",tears delayed To a painful slowness.
The minutes,drew To,fractions.
Then the west wind,"blew The sound of a bell, On",a gusty swell.
It came skipping over the slates of,"the roof, And the bright bell-notes seemed a reproof To","grief, in the eye of so fair a day."
"The Abbess,","comforted, ceased",to pray.
And the sun lit,the flowers In Clotilde's,Book of Hours.
It glistened the green of the Virgin's dress And,"made the red spots, in a flushed excess, Pulse and start; and the violet",wings Of the angel were colour which shines and sings.
The book seemed,a choir Of rainbow,fire.
"The Abbess crossed herself, and each nun Did","the same, then one by one, They filed to the chapel, that incensed prayers",Might plead for the life of this sister of theirs.
"Clotilde,",the,Inspired!
She only,felt,tired.
The old chronicles say,she did not die Until,heavy with years.
And that is why There hangs in the convent,"church a basket Of osiered silver, a holy casket,",And treasured therein A dried snake-skin.
Panels of claret,and blue which shine Under the,moon like lees of wine.
A coronet done in a golden,"scroll, And wheels which blunder and creak as they roll Through",the muddy ruts of a moorland track.
They,daren't,look back!
They are whipping,and cursing the,horses.
What brutes,men are when,they think they're scored.
They are scared,"half out of their wits,",poor souls.
For my lord has a casket,"full of rolls Of minted sovereigns,",and silver bars.
I laugh to,think how he'll show his scars,In London to-morrow.
He whines with,rage In his varnished,cage.
My lady,has shoved her rings over,her toes.
'Tis an ancient,trick every night-rider,knows.
"But I shall relieve her of them yet, When",I see she limps in the minuet I must beg to,"celebrate this night, And the green moonlight."
There's nothing to hurry,"about, the plain Is hours","long, and the mud's a strain."
My gelding's uncommonly,"strong in the loins, In half an",hour I'll bag the coins.
"'Tis a clear,",sweet night on the,turn of Spring.
The,chase is,the thing!
How the coach flashes,"and wobbles, the moon Dripping",down so quietly on it.
A tune Is beating out,"of the curses and screams, And the cracking",all through the painted seams.
"Steady, old","horse, we'll keep",it in sight.
'Tis,a rare fine,night!
There's a clump of trees on,"the dip of the down, And the sky shimmers",where it hangs over the town.
It seems a shame to break the air,"In two with this pistol, but I've my share",Of drudgery like other men.
"Hold up,","you beast, now",what the devil!
Confound this,"moor for a pockholed, evil,",Rotten marsh.
My,right,leg's snapped.
'Tis a mercy,"he's rolled, but I'm nicely",capped.
A broken-legged,man and a,broken-legged horse!
They'll,"get me, of",course.
The cursed coach will reach the town And,"they'll all come out, every loafer grown A",lion to handcuff a man that's down.
"Oh, the",coachman's bulleted,hat!
I'll give,it a head,to fit it pat.
_They handcuffed the body just,"for style, And they hung him in chains for the",volatile Wind to scour him flesh from bones.
Way out on the moor you,can hear the groans His gibbet makes,when it blows a gale.
'Tis a,common,tale.
"_ Paul Jannes was working very late, For",this watch must be done by eight To-morrow or the,Cardinal Would certainly be vexed.
"So they picked his pocket,",And he paid in jewels for his,slobbering kisses.
This watch was made to buy him blisses,"From an Austrian countess on her way Home,",and she meant to start next day.
"Paul worked by the pointed, tulip-flame Of a tallow","candle, and became So absorbed, that his old clock made him",wince Striking the hour a moment since.
"Its echo, only","half apprehended, Lingered",about the room.
"He ended Screwing the little rubies in,","Setting the wheels to lock and spin, Curling the infinitesimal","springs, Fixing the filigree hands."
Chippings Of,precious stones lay,strewn about.
The table before,him was a rout Of splashes,and sparks of coloured light.
There was yellow gold,"in sheets, and quite A heap of","emeralds, and steel."
Here was,"a gem, there was",a wheel.
And glasses lay like limpid lakes Shining and,"still, and there were flakes Of silver, and shavings of pearl, And little",wires all awhirl With the light of the candle.
He took the watch And wound its hands,"about to match The time, then glanced up to",take the hour From the hanging clock.
"Good,",Merciful,Power!
How came that shadow,"on the wall, No woman",was in the room!
His tall Chiffonier,stood gaunt behind,His chair.
His old,"cloak, rabbit-lined,",Hung from a peg.
The,door was,closed.
Just for a,moment he must,have dozed.
"He looked again,",and saw it,plain.
The silhouette made a blue-black stain On,"the opposite wall, and it never wavered Even when the",candle quavered Under his panting breath.
"What made That beautiful, dreadful thing, that","shade Of something so lovely, so exquisite, Cast from a substance which",the sight Had not been tutored to perceive?
Paul brushed,his eyes across,his sleeve.
"Clear-cut, the Shadow on","the wall Gleamed black, and never",moved at all.
"Paul's watches were like amulets, Wrought into","patterns and rosettes; The cases were all set with stones,","And wreathing lines, and shining zones."
"He knew the beauty in a curve, And",the Shadow tortured every nerve With its perfect,rhythm of outline Cutting the whitewashed wall.
So fine Was the neck he,knew he could have spanned It about with,the fingers of one hand.
The lady,was edged with the,stamp of race.
A,singular vision,in such a place.
He moved the candle to,the tall Chiffonier; the,Shadow stayed on the wall.
He threw his cloak upon,"a chair, And still the lady's",face was there.
From every corner,"of the room He saw, in the patch of","light, the gloom That was the lady."
Her violet bloom,Was almost brighter than that,which came From his candle's tulip-flame.
He set the filigree hands; he laid,The watch in the case which he had made; He put on his,"rabbit cloak, and snuffed His candle out."
The room seemed,stuffed With,darkness.
Softly he crossed,"the floor, And let himself",out through the door.
The sun was flashing,"from every pin And wheel,",when Paul let himself in.
The whitewashed,walls were hot,with light.
The room was the core of a,"chrysolite, Burning and shimmering",with fiery might.
The sun was so bright that,no shadow could fall From the furniture,upon the wall.
Paul sighed as he looked at,the empty space Where a glare,usurped the lady's place.
"He settled himself to his work, but his mind Wandered,","and he would wake to find His hand suspended, his eyes grown dim, And",nothing advanced beyond the rim Of his dreaming.
The Cardinal sent to,"pay For his watch, which had purchased",so fine a day.
But Paul could hardly,"touch the gold, It seemed the price","of his Shadow, sold."
With the first twilight he struck a,match And watched the little blue stars hatch Into,an egg of perfect flame.
"He lit his candle,",and almost in shame At his,"eagerness, lifted his eyes."
"The Shadow was there,",and its precise Outline etched,"the cold, white wall."
The young,"man swore, ""By",God!
"You, Paul, There's",something the matter,with your brain.
Go home now,and sleep off,the strain.
""" The next day was","a storm, the rain Whispered",and scratched at the window-pane.
A grey and,shadowless morning filled,The little shop.
"The watches,","chilled, Were dead and sparkless",as burnt-out coals.
The gems lay on the table,"like shoals Of stranded shells, their colours faded, Mere heaps","of stone, dull and degraded."
"Paul's head was heavy,","his hands obeyed No orders,",for his fancy strayed.
His work became a,simple round Of watches repaired,and watches wound.
The slanting ribbons of the,"rain Broke themselves on the window-pane, But Paul",saw the silver lines in vain.
In the morning,he selected all His,perfect jacinths.
"When, at dusk, the",Shadow grew Upon the,"wall, Paul's work was through."
"Holding the watch, he spoke to","her: ""Lady, Beautiful Shadow, stir",Into one brief sign of being.
"Turn your eyes this way, and seeing This watch, made from","those sweet curves Where your hair from your forehead swerves, Accept the gift",which I have wrought With your fairness in my thought.
"Grant me this, and",I shall be Honoured,overwhelmingly.
""" The Shadow rested","black and still, And the wind sighed",over the window-sill.
Topazes ran in a foamy,"stream Over the cover, the hands were studded With","garnets, and seemed red roses, budded."
"The face was of crystal, and engraved","Upon it the figures flashed and waved With zircons,","and beryls, and amethysts."
"It took a week to make,",and his trysts At night with the,Shadow were his alone.
Paul swore,not to speak till his,task was done.
The night that,the jewel was,worthy to give.
Paul watched the long hours of daylight live To the,"faintest streak; then lit his light, And sharp against the wall's pure white",The outline of the Shadow started Into form.
His burning-hearted Words,so long imprisoned swelled To,tumbling speech.
"Like one compelled, He told the lady all","his love, And holding out the watch above His head, he","knelt, imploring some Littlest sign."
The,Shadow,was dumb.
"Weeks passed, Paul worked in fevered","haste, And everything he made he",placed Before his lady.
The Shadow,kept Its perfect,passiveness.
He wooed her with the work,"of his hands, He waited for those dear",commands She never gave.
"No word, no motion,",Eased the ache of his,devotion.
His days passed in a,"strain of toil, His nights burnt up",in a seething coil.
"Seasons shot by,",uncognisant,He worked.
The Shadow,came to haunt Even,his days.
Sometimes quite plain He,saw on the wall the blackberry stain Of,his lady's picture.
No sun was bright,Enough to dazzle that,from his sight.
Then he,would curse Himself,and her!
"And more, the beauty","he could not make, And give her,",for her comfort's sake!
"He would beat his weary, empty hands Upon","the table, would hold up strands Of silver and gold, and ask her",why She scorned the best which he could buy.
He would pray as to,"some high-niched saint, That she would cure him of",the taint Of failure.
He would clutch the wall With his bleeding,"fingers, if she should fall He could catch, and","hold her, and make her live!"
With sobs he would,ask her to forgive All,he had done.
"And broken, spent, He would call himself",impertinent; Presumptuous; a tradesman; a nothing;,driven To madness by the sight of Heaven.
"There were days when he wooed as a lover,","sighed In tenderness, spoke to his bride, Urged her to","patience, said his skill Should break the spell."
A man's sworn will,"Could compass life, even","that, he knew."
He,would prove,it true!
The edge of,the Shadow never,blurred.
The lips of the,Shadow never,stirred.
He would climb on chairs,"to reach her lips, And pat her",hair with his finger-tips.
"Then, deadly sick, He would lie in a swoon","for hours, while thick Phantasmagoria crowded his","brain, And his body shrieked in the clutch of pain."
"The crisis passed, he would wake and smile With a vacant","joy, half-imbecile And quite confused, not being certain Why he was suffering; a curtain",Fallen over the tortured mind beguiled His sorrow.
Like a little child He would play with his watches,"and gems, with glee Calling the Shadow to look and see How the spots",on the ceiling danced prettily When he flashed his stones.
"""Mother, the green Has",slid so cunningly in between,The blue and the yellow.
"Oh,",please look,down!
One morning he threw the street door,"wide On coming in, and his vigorous stride Made the",tools on his table rattle and jump.
In his hands he carried a,"new-burst clump Of laurel blossoms, whose smooth-barked",stalks Were pliant with sap.
As a husband talks To,"the wife he left an hour ago,",Paul spoke to the Shadow.
"""Dear, you know To-day the calendar calls","it Spring, And I woke this morning gathering","Asphodels, in my dreams, for you."
So I rushed out to see what flowers blew Their pink-and-purple-scented,"souls Across the town-wind's dusty scrolls, And made the approach to the Market",Square A garden with smells and sunny air.
I feel so well and,"happy to-day, I think I shall",take a Holiday.
And to-night,we will have a,little treat.
I am going,to bring you something,to eat!
""" He looked at",the Shadow,anxiously.
It was,quite grave and,silent.
He Shut the outer,door and came And leant,against the window-frame.
"""Dearest,"" he said, ""we",live apart Although I,bear you in my heart.
We look,out each from a different,world.
At any moment,we may be hurled,Asunder.
They follow their,"orbits, we Obey their laws",entirely.
"Now you must come, or I go there,",Unless we are willing to live the flare Of,a lighted instant and have it gone.
""" A bee in",the laurels began,to drone.
A loosened,petal fluttered,prone.
"""Man grows by eating, if you eat","You will be filled with our life, sweet",Will be our planet in your mouth.
"If not, I must parch in death's wide","drouth Until I gain to where you are, And give you myself",in whatever star May happen.
Is it,not ordered,cleverly?
""" The Shadow, bloomed","like a plum, and clear,",Hung in the sunlight.
It,did,not hear.
Paul slipped away,as the dusk began To,dim the little shop.
He ran To the nearest,"inn, and chose with care As much",as his thin purse could bear.
"Returning, he brushed his","tools aside, And laid across the table",a wide Napkin.
He put a glass and,"plate On either side,",in duplicate.
"Over the lady's,","excellent With loveliness,",the laurels bent.
In the centre the,"white-flaked pastry stood, And beside",it the wine flask.
Red as blood Was the wine,which should bring the lustihood Of human,life to his lady's veins.
He put meat on her,"plate and filled her glass, And waited",what should come to pass.
The Shadow,lay quietly on,the wall.
From the street outside,"came a watchman's call ""A",cloudy night.
Rain,beginning,to fall.
""" And still",he,waited.
The clock's,slow tick Knocked on the,silence.
He filled his own glass,full of wine; From his pocket,he took a paper.
"The twine Was knotted,",and he searched a knife From,his jumbled tools.
The cord of,life Snapped as he cut,the little string.
He knew,that he must do the,thing He feared.
"He shook powder into the wine,",And holding it up so the candle's shine Sparked a,"ruby through its heart, He drank it."
"""Dear, never",apart,Again!
You have said,it was mine,to do.
"It is done, and",I am come,to you!
""" Paul Jannes let","the empty wine-glass fall,",And held out his arms.
The insentient wall Stared,"down at him with its cold,",white glare Unstained!
The Shadow,was not,there!
Paul clutched,and tore at his tightening,throat.
"He felt the veins in his body bloat,",And the hot blood run like fire and stones Along,the sides of his cracking bones.
But he laughed as he staggered,"towards the door, And he laughed aloud",as he sank on the floor.
The Coroner took the,"body away, And the watches were",sold that Saturday.
The Auctioneer said,"one could seldom buy Such watches,",and the prices were high.
Holy Mother,"of God, Merciful",Mary.
I am,very,weary.
I have come from a village,"miles away, all day I have been coming,",and I ache for such far roaming.
I cannot walk as,"light as I used, and my",thoughts grow confused.
I am,heavier,than I was.
Mary,"Mother, you",know the cause!
Beautiful Holy,"Lady, take my shame",away from me!
Let this fear be only,"seeming, let it be that I",am dreaming.
For months I have,"hoped it was so, now I am",afraid I know.
"Lady, why should this","be shame, just because I",haven't got his name.
"He loved me, yes,","Lady, he did, and he couldn't",keep it hid.
We,meant to,marry.
Why did,he,die?
That day when they told me he had gone,"down in the avalanche, and could not be found until","the snow melted in Spring, I did nothing."
I,could,not cry.
Why,should,he die?
Why should he,die and his,child live?
His little child,"alive in me, for",my comfort.
"No, Good","God, for my",misery!
"I cannot face the shame, to be","a mother, and not married, and the poor child to",be reviled for having no father.
"Merciful Mother,","Holy Virgin, take away",this sin I did.
Let the,baby,not be.
Only take,the stigma,off of me!
I have told,"no one but you, Holy",Mary.
"My mother would call me ""whore"", and spit","upon me; the priest would have me repent, and have",the rest of my life spent in a convent.
"I am no whore, no","bad woman, he loved me, and",we were to be married.
I carried him always in,"my heart, what did it matter if I",gave him the least part of me too?
"You were a virgin, Holy","Mother, but you had a son, you know there",are times when a woman must give all.
There is some,call to give and,hold back nothing.
I swear I obeyed,"God then, and this child who lives",in me is the sign.
"He is dead,","my beautiful,",strong man!
I shall never,feel him caress,me again.
This is,the only baby,I shall have.
"Oh, Holy","Virgin, protect",my baby!
"My little,",helpless,baby!
"He will look like his father,",and he will be as fast a runner,and as good a shot.
Not that he,shall be no scholar,neither.
How can I,"think such things, I",am not good.
My father will have nothing,"to do with my boy, I shall be",an outcast thing.
"Oh, Mother of our","Lord God, be merciful, take",away my shame!
Let my body,be as it was before,he came.
No little baby for,me to keep underneath my,heart for those long months.
To live,for and to get comfort,from.
I cannot,go home and tell my,mother.
She is,so hard and,righteous.
She never loved my,"father, and we were born for","duty, not for love."
I,cannot,face it.
"Holy Mother,",take my baby,away!
Take away,my little,baby!
I don't,"want it, I",can't bear it!
And I,"shall have nothing,",nothing!
Just be,known as a,good girl.
Have other men want to,"marry me, whom I could not touch,",after having known my man.
"He is gone, my man, I shall","never hear him or feel him again,",but I could not touch another.
I would rather,lie under the snow with my,own man in my arms!
So I shall,live on,and on.
Just a,good,woman.
With nothing to warm my,"heart where he lay, and where he left his",baby for me to care for.
I shall not,"be quite human,",I think.
Merely,a stone-dead,creature.
They will,respect,me.
What do,I care,for respect!
You didn't care for,people's tongues when you were,carrying our Lord Jesus.
God had my man give me,"my baby, when He knew that He was going",to take him away.
His lips will comfort,"me, his hands will",soothe me.
"All day I will work at my lace-making, and",all night I will keep him warm by my side and pray the blessed,Angels to cover him with their wings.
"Dear Mother,",what is it that,sings?
I hear voices,"singing, and lovely silver",trumpets through it all.
They seem just,on the other,side of the wall.
Let me,"keep my baby, Holy",Mother.
He is only a poor lace-maker's,"baby, with a stain upon him, but give me strength",to bring him up to be a man.
Tang of fruitage in the air; Red,boughs bursting everywhere; Shimmering of seeded,grass; Hooded gentians all a'mass.
"Warmth of earth, and cloudless wind Tearing","off the husky rind, Blowing feathered seeds to","fall By the sun-baked, sheltering wall."
Beech trees in a golden,"haze; Hardy sumachs all ablaze, Glowing",through the silver birches.
How that,pine tree shouts,and lurches!
From the sunny,"door-jamb high, Swings the shell",of a butterfly.
Scrape of insect,violins Through the stubble,shrilly dins.
Every blade's a minaret Where,"a small muezzin's set, Loudly calling us",to pray At the miracle of day.
Then the purple-lidded night Westering,"comes, her footsteps light Guided by the radiant",boon Of a sickle-shaped new moon.
"In the brown water, Thick and silver-sheened","in the sunshine, Liquid and cool in the","shade of the reeds, A pike dozed."
Lost among the,shadows of stems He,lay unnoticed.
Suddenly he flicked his,"tail, And a green-and-copper brightness Ran",under the water.
Out from under the reeds,"Came the olive-green light, And orange",flashed up Through the sun-thickened water.
"So the fish passed across the pool, Green and copper,","A darkness and a gleam, And the blurred reflections of the willows",on the opposite bank Received it.
Where is,"she, the woman",who wore it?
The scent of,her lingers,and drugs me!
"A languor, fire-shotted, runs through me, and I crush","the scarf down on my face, And gulp in the warmth and the","blueness, and my eyes swim in cool-tinted heavens."
Around me are,"columns of marble, and","a diapered, sun-flickered pavement."
Rose-leaves blow,and patter against,it.
Below the,stone steps a lute,tinkles.
A jar of green,jade throws its shadow,half over the floor.
A big-bellied Frog hops through the sunlight,"and plops in the gold-bubbled water of a basin, Sunk",in the black and white marble.
The west wind has lifted a scarf On,"the seat close beside me, the blue of it is",a violent outrage of colour.
She draws it more closely,"about her, and it ripples beneath",her slight stirring.
How loud clocks can tick,"when a room is empty,",and one is alone!
"My daffodil-crowned,",Slim and without,sandals!
As the sudden spurt of flame upon darkness,"So my eyeballs are startled with you, Supple-limbed youth among","the fruit-trees, Light runner through tasselled orchards."
You are an almond flower,unsheathed Leaping and flickering between,the budded branches.
As I would free the white almond,from the green husk So would I strip your,"trappings off, Beloved."
And fingering the smooth and,polished kernel I should see that in my hands,glittered a gem beyond counting.
The neighbour sits,in his window and,plays the flute.
"From my bed I can hear him, And the round","notes flutter and tap about the room, And hit against each","other, Blurring to unexpected chords."
"It is very beautiful,","With the little flute-notes all about me,",In the darkness.
"In the daytime, The neighbour",eats bread and onions with one hand And,copies music with the other.
He is fat and has a bald,"head, So I do not look at him, But",run quickly past his window.
There is always,"the sky to look at, Or the",water in the well!
"But when night comes and he plays his flute, I","think of him as a young man, With gold seals hanging from his","watch, And a blue coat with silver buttons."
You are beautiful and faded Like,an old opera tune Played upon a harpsichord; Or,like the sun-flooded silks Of an eighteenth-century boudoir.
In your eyes Smoulder the fallen roses,"of out-lived minutes, And the perfume of your soul Is vague and","suffusing, With the pungence of sealed spice-jars."
"Your half-tones delight me,",And I grow mad with gazing,At your blent colours.
My vigour is,"a new-minted penny, Which",I cast at your feet.
Gather it up,"from the dust, That its sparkle",may amuse you.
"Damp smell the ferns in tunnels of stone,","Where trickle and plash the fountains, Marble fountains,",yellowed with much water.
Splashing down moss-tarnished steps,"It falls, the water; And the air",is throbbing with it.
With its,gurgling,and running.
With its,"leaping, and","deep, cool murmur."
And I,wished for night,and you.
I wanted to see,"you in the swimming-pool, White and shining in",the silver-flecked water.
"While the moon rode over the garden,","High in the arch of night, And the scent of the",lilacs was heavy with stillness.
"Night, and the","water, and you in your","whiteness, bathing!"
Guarded within the old red wall's,"embrace, Marshalled like soldiers in gay company,",The tulips stand arrayed.
Here infantry,Wheels out into,the sunlight.
What bold grace Sets,"off their tunics, white with",crimson lace!
"Here are platoons of gold-frocked cavalry,",With scarlet sabres tossing in the eye Of purple,"batteries, every gun in place."
"Forward they come, with flaunting","colours spread, With torches burning, stepping out","in time To some quick, unheard march."
Our ears,"are dead, We cannot",catch the tune.
In pantomime,Parades that,army.
With our utmost,powers We hear the wind stream,through a bed of flowers.
As a monk,"who prays"" changed to:","""There are none, ever."
"As a monk who prays""","A Tale of Starvation: ""And",he neither eat nor drank.
""" changed to: ""And",he neither,ate nor drank.
""" The Great Adventure of",Max Breuck: Stanza headings were originally,Roman Numerals.
And,terror-wingéd,steps.
"Before the Altar, bowed, he stands With",empty hands; Upon it perfumed offerings burn,Wreathing with smoke the sacrificial urn.
His sole,condition Love,and poverty.
"""Shining and distant","Goddess, hear my prayer Where",you swim in the high air!
"With charity look down on me,","Under this tree, Tending the gifts I have not brought,",The rare and goodly things I have not sought.
"Instead,",take from me all,my life!
"""Upon the wings Of",shimmering moonbeams I pack,my poet's dreams For you.
"My wearying strife,","My courage, my loss, Into the",night I toss For you.
"Golden Divinity, Deign to look down on me Who","so unworthily Offers to you: All life has known, Seeds withered unsown,","Hopes turning quick to fears, Laughter which dies in tears."
The shredded remnant of a,man Is all the span And compass,of my offering to you.
"""Empty and silent,","I Kneel before your pure, calm",majesty.
"On this stone, in this urn I pour my heart","and watch it burn, Myself the sacrifice; but",be Still unmoved:  Divinity.
""" From the altar, bathed","in moonlight, The smoke rose straight",in the quiet night.
"Wild little bird, who chose",thee for a sign To put upon,the cover of this book?
"Who heard thee singing in the distance dim, The vague,","far greenness of the enshrouding wood, When the damp freshness of the morning",earth Was full of pungent sweetness and thy song?
We do not,know what bird,thou art.
"Perhaps That fairy bird, fabled in island tale,","Who never sings but once, and then his song Is of such fearful beauty",that he dies From sheer exuberance of melody.
"For this they took thee, little bird,","for this They captured thee, tilting among the leaves,",And stamped thee for a symbol on this book.
For it contains a,"song surpassing thine, Richer,","more sweet, more poignant."
Glinting golden,"through the trees, Apples of",Hesperides!
Through the moon-pierced warp of night Shoot pale shafts,"of yellow light, Swaying to the kissing breeze Swings the","treasure, golden-gleaming, Apples of Hesperides!"
Far and lofty yet,"they glimmer, Apples",of Hesperides!
"Blinded by their radiant shimmer, Pushing forward","just for these; Dew-besprinkled, bramble-marred, Poor duped mortal, travel-scarred, Always thinking soon to",seize And possess the golden-glistening Apples of Hesperides!
"Orbed, and glittering,","and pendent, Apples of",Hesperides!
"Not one missing, still","transcendent, Clustering like",a swarm of bees.
"Yielding to no man's desire, Glowing","with a saffron fire, Splendid, unassailed, the",golden Apples of Hesperides!
April had covered the hills With flickering,"yellows and reds, The sparkle and coolness of snow",Was blown from the mountain beds.
Across a deep-sunken stream The pink of,"blossoming trees, And from windless appleblooms",The humming of many bees.
The air was of rose and gold Arabesqued,"with the song of birds Who, swinging unseen under leaves,",Made music more eager than words.
"Of a sudden, aslant the road, A","brightness to dazzle and stun, A glint of the bluest","blue, A flash from a sapphire sun."
"Blue-birds so blue, 't was a dream, An","impossible, unconceived hue, The high sky of summer",dropped down Some rapturous ocean to woo.
"Such a colour,",such infinite,light!
The heart of a,"fabulous gem, Many-faceted,",brilliant and rare.
Centre Stone,of the earth's,diadem!
Centre Stone of the,"Crown of the World, ""Sincerity""",graved on your youth!
And your eyes hold the,"blue-bird flash, The sapphire","shaft, which is truth."
Life is a stream On which we strew Petal by petal,"the flower of our heart; The end lost in dream, They float past","our view, We only watch their glad, early start."
"Freighted with hope, Crimsoned with joy, We scatter","the leaves of our opening rose; Their widening scope,","Their distant employ, We never shall know."
And the stream as it flows Sweeps,"them away, Each one is gone Ever",beyond into infinite ways.
We alone stay While years,"hurry on, The flower fared forth, though",its fragrance still stays.
So through the vacancy of busy,life At intervals you cross my path and bring The,deep solemnity of passing years.
"For you I have shed bitter tears,",for you I have relinquished that for which my,heart Cried out in selfish longing.
And to-night Having,"just left you, I can say:"," ""'T is well."
Thank God that I have known,"a soul so true, So nobly just,",so worthy to be loved!
""" Stupefy my heart to every day's monotony,","Seal up my eyes, I would not look so far, Chasten my steps to peaceful","regularity, Bow down my head lest I behold a star."
"Fill my days with work, a thousand calm necessities Leaving","no moment to consecrate to hope, Girdle my thoughts within the dull circumferences",Of facts which form the actual in one short hour's scope.
"Give me dreamless sleep, and loose night's power over me, Shut","my ears to sounds only tumultuous then, Bid Fancy slumber, and steal away","its potency, Or Nature wakes and strives to live again."
"Let each day pass, well ordered in its usefulness,","Unlit by sunshine, unscarred by storm; Dower me with strength and curb all foolish",eagerness -- The law exacts obedience.
"High up above the open,","welcoming door It hangs, a piece",of wood with colours dim.
"Once, long ago, it was a waving",tree And knew the sun and shadow through the leaves Of,"forest trees, in a thick eastern wood."
Dark midnight storms had roared and crashed among Its,"branches, breaking here and there a limb; But every now and then broad","sunlit days Lovingly lingered, caught among the leaves."
"An artist once, with patient,","careful knife, Had fashioned it like to",the untamed sea.
"Here waves uprear themselves, their tops blown","back By the gay, sunny wind, which whips the blue And",breaks it into gleams and sparks of light.
Among the flashing waves are,"two white birds Which swoop, and soar, and scream",for very joy At the wild sport.
Now diving quickly,"in, Questing some glistening",fish.
"Now flying up, Their dripping feathers shining","in the sun, While the wet drops like little glints of light, Fall",pattering backward to the parent sea.
"Gliding along the green and foam-flecked hollows, Or","skimming some white crest about to break, The spirits of the sky deigning",to stoop And play with ocean in a summer mood.
"When you, my Dear, are away,","away, How wearily goes",the creeping day.
"A year drags after morning,",and night Starts another year,of candle light.
O Pausing,Sun and Lingering,Moon!
"Grant me, I","beg of you,",this boon.
Whirl round the earth as never,sun Has his diurnal,journey run.
"And, Moon, slip past the ladders of air In a","single flash, while your streaming hair Catches the stars and pulls them down",To shine on some slumbering Chinese town.
O,Kindly,Sun!
Bring evening,to crowd the footsteps,of noon.
But when that long,awaited day Hangs ripe in the,"heavens, your voyaging stay."
Be,"morning,",O Sun!
with the lark in,"song, Be afternoon",for ages long.
"And, Moon, let you and",your lesser lights Watch over,a century of nights.
"Here terrace sinks to terrace, arbors close The ends of","dreaming paths; a wanton wind Jostles the half-ripe pears, and then, unkind, Tumbles a-slumber","in a pillar rose, With content Grown indolent."
By night my garden,is o'erhung with gems Fixed,in an onyx setting.
Fireflies,Flicker their lanterns in,my dazzled eyes.
